client_code,product,push_notification
1,Кредитная карта,"Айгерим, за 3 месяца можно было заработать 156 215 ₸ 😎. До 10% кешбэка и онлайн-сервисы, плюс рассрочка без переплат. Оформить карту?"
2,Премиальная карта,"Данияр, за последние 3 месяца ваш кешбэк мог составить 170 879 ₸. Премиальная карта повышает доход и упрощает снятие/переводы наличных. Открыть карту."
3,Кредит наличными,"Сабина, нужен быстрый запас на крупные расходы? 💡 Кредит наличными без залога и справок, онлайн или в отделении, с гибкими выплатами. Узнать лимит?"
4,Депозит Мультивалютный,"Тимур, у вас остаются свободные средства? Мультивалютный депозит 14,50% с доступом к деньгам и пополнением без ограничений. Посмотреть условия."
5,Премиальная карта,"Камилла, за последние 3 месяца ваш кешбэк мог составить 153 967 ₸. Премиальная карта повышает доход и упрощает снятие/переводы наличных. Открыть карту."
6,Депозит Сберегательный,"Аян, чтобы получить максимальный доход, разместите средства на сберегательном депозите 16,50% до конца срока. Посмотреть вклад."
7,Золотые слитки,"Руслан, чтобы сохранить стоимость средств и диверсифицировать портфель, купите золотые слитки 999,9 пробы и храните в сейфах банка. Посмотреть."
8,Инвестиции,"Мадина, чтобы начать инвестировать с низким порогом и без комиссий первый год, откройте инвестиционный счёт. Посмотреть условия."
9,Премиальная карта,"Арман, за последние 3 месяца ваш кешбэк мог составить 184 523 ₸. Премиальная карта повышает доход и упрощает снятие/переводы наличных. Открыть карту."
10,Инвестиции,"Карина, чтобы начать инвестировать с низким порогом и без комиссий первый год, откройте инвестиционный счёт. Посмотреть условия."
11,Инвестиции,"Бауржан, чтобы начать инвестировать с низким порогом и без комиссий первый год, откройте инвестиционный счёт. Посмотреть условия."
12,Кредитная карта,"Жанар, за последние 3 месяца ваш потенциальный кешбэк — 153 341 ₸. Кредитная карта возвращает до 10% на топ-категории и онлайн-услуги, плюс рассрочка без переплат. Посмотреть карту."
13,Кредит наличными,"Алина, нужен быстрый запас на крупные расходы? 💡 Кредит наличными без залога и справок, онлайн или в отделении, с гибкими выплатами. Узнать лимит?"
14,Депозит Мультивалютный,"Диас, держите свободные средства? 💰 Мультивалютный депозит 14,50% с доступом к деньгам и пополнением без ограничений. Открыть депозит?"
15,Депозит Сберегательный,"Нурия, чтобы получить максимальный доход, разместите средства на сберегательном депозите 16,50% до конца срока. Посмотреть вклад."
16,Кредит наличными,"Ерасыл, нужен быстрый запас на крупные расходы? 💡 Кредит наличными без залога и справок, онлайн или в отделении, с гибкими выплатами. Узнать лимит?"
17,Кредит наличными,"Жанель, если нужен быстрый кредит на любые цели — оформите кредит наличными онлайн или в отделении. Гибкие выплаты, без залога и справок. Узнать лимит."
18,Кредитная карта,"Санжар, за последние 3 месяца ваш потенциальный кешбэк — 160 791 ₸. Кредитная карта возвращает до 10% на топ-категории и онлайн-услуги, плюс рассрочка без переплат. Посмотреть карту."
19,Кредитная карта,"Азамат, за последние 3 месяца ваш потенциальный кешбэк — 146 617 ₸. Кредитная карта возвращает до 10% на топ-категории и онлайн-услуги, плюс рассрочка без переплат. Посмотреть карту."
20,Кредитная карта,"Анель, за 3 месяца можно было заработать 145 129 ₸ 😎. До 10% кешбэка и онлайн-сервисы, плюс рассрочка без переплат. Оформить карту?"
21,Премиальная карта,"Павел, за последние 3 месяца ваш кешбэк мог составить 148 185 ₸. Премиальная карта повышает доход и упрощает снятие/переводы наличных. Открыть карту."
22,Обмен валют,"Аружан, часто меняете валюту? 💸 В приложении выгодный курс, без комиссии, и авто-покупка по целевому курсу. Настроить обмен?"
23,Обмен валют,"Темирлан, вы часто меняете валюту. В приложении выгодный курс без комиссии и возможность авто-покупки по целевому курсу. Посмотреть обмен."
24,Обмен валют,"Гульмира, вы часто меняете валюту. В приложении выгодный курс без комиссии и возможность авто-покупки по целевому курсу. Посмотреть обмен."
25,Кредит наличными,"Адиль, если нужен быстрый кредит на любые цели — оформите кредит наличными онлайн или в отделении. Гибкие выплаты, без залога и справок. Узнать лимит."
26,Депозит Сберегательный,"Маржан, чтобы получить максимальный доход, разместите средства на сберегательном депозите 16,50% до конца срока. Посмотреть вклад."
27,Депозит Мультивалютный,"Нурсултан, держите свободные средства? 💰 Мультивалютный депозит 14,50% с доступом к деньгам и пополнением без ограничений. Открыть депозит?"
28,Инвестиции,"Алтынай, чтобы начать инвестировать с низким порогом и без комиссий первый год, откройте инвестиционный счёт. Посмотреть условия."
29,Депозит Мультивалютный,"Сая, держите свободные средства? 💰 Мультивалютный депозит 14,50% с доступом к деньгам и пополнением без ограничений. Открыть депозит?"
30,Кредитная карта,"Ербол, за последние 3 месяца ваш потенциальный кешбэк — 180 142 ₸. Кредитная карта возвращает до 10% на топ-категории и онлайн-услуги, плюс рассрочка без переплат. Посмотреть карту."
31,Инвестиции,"Дамир, чтобы начать инвестировать с низким порогом и без комиссий первый год, откройте инвестиционный счёт. Посмотреть условия."
32,Золотые слитки,"Алия, чтобы сохранить стоимость средств и диверсифицировать портфель, купите золотые слитки 999,9 пробы и храните в сейфах банка. Посмотреть."
33,Депозит Сберегательный,"Мерей, чтобы получить максимальный доход, разместите средства на сберегательном депозите 16,50% до конца срока. Посмотреть вклад."
34,Инвестиции,"Инкар, чтобы начать инвестировать с низким порогом и без комиссий первый год, откройте инвестиционный счёт. Посмотреть условия."
35,Депозит Накопительный,"Самат, если хотите копить с доходом 15,50%, накопительный депозит с пополнением — отличный вариант. Посмотреть условия."
36,Кредитная карта,"Назым, за 3 месяца можно было заработать 140 099 ₸ 😎. До 10% кешбэка и онлайн-сервисы, плюс рассрочка без переплат. Оформить карту?"
37,Депозит Сберегательный,"Гульнар, чтобы получить максимальный доход, разместите средства на сберегательном депозите 16,50% до конца срока. Посмотреть вклад."
38,Премиальная карта,"Серик, за последние 3 месяца ваш кешбэк мог составить 216 657 ₸. Премиальная карта повышает доход и упрощает снятие/переводы наличных. Открыть карту."
39,Золотые слитки,"Ляззат, чтобы сохранить стоимость средств и диверсифицировать портфель, купите золотые слитки 999,9 пробы и храните в сейфах банка. Посмотреть."
40,Кредитная карта,"Асхат, за последние 3 месяца ваш потенциальный кешбэк — 179 187 ₸. Кредитная карта возвращает до 10% на топ-категории и онлайн-услуги, плюс рассрочка без переплат. Посмотреть карту."
41,Золотые слитки,"Сандугаш, чтобы сохранить стоимость средств и диверсифицировать портфель, купите золотые слитки 999,9 пробы и храните в сейфах банка. Посмотреть."
42,Инвестиции,"Рустем, чтобы начать инвестировать с низким порогом и без комиссий первый год, откройте инвестиционный счёт. Посмотреть условия."
43,Депозит Мультивалютный,"Нуртас, держите свободные средства? 💰 Мультивалютный депозит 14,50% с доступом к деньгам и пополнением без ограничений. Открыть депозит?"
44,Кредитная карта,"Айнагуль, за последние 3 месяца ваш потенциальный кешбэк — 154 244 ₸. Кредитная карта возвращает до 10% на топ-категории и онлайн-услуги, плюс рассрочка без переплат. Посмотреть карту."
45,Премиальная карта,"Диана, за 3 месяца ваш потенциальный кешбэк — 277 484 ₸. Премиальная карта даёт до 4% на рестораны и ювелирку ✨, плюс снятие наличных без заморочек. Посмотреть карту?"
46,Кредит наличными,"Арсен, если нужен быстрый кредит на любые цели — оформите кредит наличными онлайн или в отделении. Гибкие выплаты, без залога и справок. Узнать лимит."
47,Депозит Мультивалютный,"Камшат, у вас остаются свободные средства? Мультивалютный депозит 14,50% с доступом к деньгам и пополнением без ограничений. Посмотреть условия."
48,Кредитная карта,"Ержан, за последние 3 месяца ваш потенциальный кешбэк — 145 989 ₸. Кредитная карта возвращает до 10% на топ-категории и онлайн-услуги, плюс рассрочка без переплат. Посмотреть карту."
49,Депозит Накопительный,"Амина, планомерно копите? 💡 Накопительный депозит 15,50% с возможностью пополнения — удобно откладывать. Открыть вклад?"
50,Инвестиции,"Тимурлан, чтобы начать инвестировать с низким порогом и без комиссий первый год, откройте инвестиционный счёт. Посмотреть условия."
51,Инвестиции,"Жанат, чтобы начать инвестировать с низким порогом и без комиссий первый год, откройте инвестиционный счёт. Посмотреть условия."
52,Депозит Накопительный,"Милана, если хотите копить с доходом 15,50%, накопительный депозит с пополнением — отличный вариант. Посмотреть условия."
53,Депозит Накопительный,"Расул, планомерно копите? 💡 Накопительный депозит 15,50% с возможностью пополнения — удобно откладывать. Открыть вклад?"
54,Инвестиции,"Виктория, чтобы начать инвестировать с низким порогом и без комиссий первый год, откройте инвестиционный счёт. Посмотреть условия."
55,Золотые слитки,"Асель, чтобы сохранить стоимость средств и диверсифицировать портфель, купите золотые слитки 999,9 пробы и храните в сейфах банка. Посмотреть."
56,Кредитная карта,"Нуркен, за последние 3 месяца ваш потенциальный кешбэк — 176 340 ₸. Кредитная карта возвращает до 10% на топ-категории и онлайн-услуги, плюс рассрочка без переплат. Посмотреть карту."
57,Депозит Накопительный,"Жания, если хотите копить с доходом 15,50%, накопительный депозит с пополнением — отличный вариант. Посмотреть условия."
58,Кредит наличными,"Султан, если нужен быстрый кредит на любые цели — оформите кредит наличными онлайн или в отделении. Гибкие выплаты, без залога и справок. Узнать лимит."
59,Премиальная карта,"Динара, за последние 3 месяца ваш кешбэк мог составить 222 969 ₸. Премиальная карта повышает доход и упрощает снятие/переводы наличных. Открыть карту."
60,Кредит наличными,"Ермек, если нужен быстрый кредит на любые цели — оформите кредит наличными онлайн или в отделении. Гибкие выплаты, без залога и справок. Узнать лимит."
